,source,id,rating,culture_and_values_rating,work_life_balance_rating,senior_management_rating,compensation_and_benefits_rating,career_opportunities_rating
0,glassdoor,90426167,5,0,0,0,0,0
1,glassdoor,90403371,4,5,5,3,3,3
2,glassdoor,90378076,5,5,4,4,5,5
3,glassdoor,90347272,3,3,3,3,3,3
4,glassdoor,90343755,4,3,3,3,4,3
5,glassdoor,90275721,4,0,0,0,0,0
6,glassdoor,90253941,4,4,4,4,4,4
7,glassdoor,90246841,3,0,0,0,0,0
8,glassdoor,90244100,4,4,4,2,4,3
9,glassdoor,90231125,3,3,3,3,3,3
10,glassdoor,90205745,5,5,5,5,5,5
11,glassdoor,90203916,4,5,5,3,4,3
12,glassdoor,90112175,5,4,4,3,4,4
13,glassdoor,90100290,1,0,0,0,0,0
14,glassdoor,90080199,1,2,1,1,1,1
15,glassdoor,90076902,4,5,5,3,5,2
16,glassdoor,90072659,4,5,5,4,5,5
17,glassdoor,90069265,4,0,0,0,0,0
18,glassdoor,90046735,5,0,0,0,0,0
19,glassdoor,90036361,4,0,0,0,0,0
20,glassdoor,90036345,5,5,5,5,5,5
21,glassdoor,89997755,4,4,4,4,3,4
22,glassdoor,89944102,5,5,5,5,5,4
23,glassdoor,89938179,5,5,5,5,5,5
24,glassdoor,89864272,4,5,5,4,5,4
25,glassdoor,89844178,5,0,0,0,0,0
26,glassdoor,89840273,5,5,5,5,5,5
27,glassdoor,89831968,4,4,5,4,3,3
28,glassdoor,89822792,4,5,5,5,5,3
29,glassdoor,89793548,5,0,0,0,0,0
30,glassdoor,89792961,4,4,4,4,4,4
31,glassdoor,89792304,5,5,5,5,5,5
32,glassdoor,89791477,5,5,5,5,5,5
33,glassdoor,89789468,3,5,5,2,4,2
34,glassdoor,89788207,4,4,4,4,4,3
35,glassdoor,89775966,5,0,0,0,0,0
36,glassdoor,89750392,5,5,5,4,4,4
37,glassdoor,89738859,4,0,0,0,0,0
38,glassdoor,89721196,5,0,0,0,0,0
39,glassdoor,89697589,4,4,4,5,5,5
40,glassdoor,89664455,5,5,5,4,5,3
41,glassdoor,89664162,3,5,5,3,3,3
42,glassdoor,89653238,4,5,4,3,4,3
43,glassdoor,89616874,4,0,0,0,0,0
44,glassdoor,89601269,3,0,0,0,0,0
45,glassdoor,89592286,5,4,4,4,5,5
46,glassdoor,89583737,3,2,4,2,3,2
47,glassdoor,89581651,5,5,5,4,4,3
48,glassdoor,89546050,4,4,5,3,4,5
49,glassdoor,89487315,4,0,0,0,0,0
50,glassdoor,89480495,3,3,4,2,4,2
51,glassdoor,89477159,5,5,4,3,5,4
52,glassdoor,89465767,4,0,0,0,0,0
53,glassdoor,89435992,1,0,0,0,0,0
54,glassdoor,89428322,4,5,5,4,4,4
55,glassdoor,89387737,4,4,5,4,4,3
56,glassdoor,89187068,3,2,3,2,4,3
57,glassdoor,89184688,4,4,4,4,4,4
58,glassdoor,89168852,5,3,5,4,5,5
59,glassdoor,89167180,3,0,0,0,0,0
60,glassdoor,89166406,4,4,2,2,3,2
61,glassdoor,89155131,5,5,4,4,4,4
62,glassdoor,89145343,5,5,5,5,5,5
63,glassdoor,89110322,4,4,5,1,3,4
64,glassdoor,89091951,4,3,5,2,5,2
65,glassdoor,89086825,3,3,3,3,3,3
66,glassdoor,89082979,5,5,5,5,4,5
67,glassdoor,89058029,5,0,0,0,0,0
68,glassdoor,89041636,2,2,2,2,2,1
69,glassdoor,89005728,4,4,3,3,4,4
70,glassdoor,88981927,4,5,3,5,3,5
71,glassdoor,88973376,2,2,3,2,3,4
72,glassdoor,88968644,5,5,5,5,5,5
73,glassdoor,88968416,3,3,2,2,3,2
74,glassdoor,88933093,4,3,5,2,4,2
75,glassdoor,88930685,4,0,0,0,0,0
76,glassdoor,88901851,5,0,0,0,0,0
77,glassdoor,88881897,5,0,0,0,0,0
78,glassdoor,88826846,5,0,0,0,0,0
79,glassdoor,88795653,5,5,5,5,5,5
80,glassdoor,88747808,5,5,5,5,5,5
81,glassdoor,88742046,5,5,5,5,5,5
82,glassdoor,88730892,4,5,4,5,5,4
83,glassdoor,88715791,5,5,5,5,5,4
84,glassdoor,88702386,4,2,0,2,2,2
85,glassdoor,88699216,3,4,2,3,4,4
86,glassdoor,88688046,3,0,0,0,0,0
87,glassdoor,88683116,5,5,5,5,4,5
88,glassdoor,88668788,5,5,5,5,4,5
89,glassdoor,88604306,4,4,4,3,4,3
90,glassdoor,88582418,5,5,5,5,5,5
91,glassdoor,88579135,5,5,5,4,0,3
92,glassdoor,88556680,1,2,1,4,4,1
93,glassdoor,88528409,5,0,0,0,0,0
94,glassdoor,88516338,5,5,5,5,5,5
95,glassdoor,88410924,5,5,5,5,5,5
96,glassdoor,88387259,5,5,5,5,5,5
97,glassdoor,88362394,4,0,0,0,0,0
98,glassdoor,88341528,4,4,3,4,4,3
99,glassdoor,88277636,4,5,3,5,5,5
100,glassdoor,88410924,5,5,5,5,5,5
101,glassdoor,88387259,5,5,5,5,5,5
102,glassdoor,88362394,4,0,0,0,0,0
103,glassdoor,88341528,4,4,3,4,4,3
104,glassdoor,88277636,4,5,3,5,5,5
105,glassdoor,88264562,5,5,3,4,4,3
106,glassdoor,88249636,4,5,5,3,4,3
107,glassdoor,88208190,2,1,2,3,2,2
108,glassdoor,88141719,3,0,0,0,0,0
109,glassdoor,88136088,3,3,3,4,3,4
110,glassdoor,88102367,4,5,5,3,5,2
111,glassdoor,88084982,4,0,0,0,0,0
112,glassdoor,88067987,5,4,4,4,4,5
113,glassdoor,88062421,2,5,3,2,5,2
114,glassdoor,88056285,4,4,4,3,3,4
115,glassdoor,88013727,4,0,0,0,0,0
116,glassdoor,87994512,5,5,5,5,5,5
117,glassdoor,87977759,4,0,0,0,0,0
118,glassdoor,87955296,1,3,2,1,2,1
119,glassdoor,87953176,3,0,0,0,0,0
120,glassdoor,87916637,1,1,3,1,1,1
121,glassdoor,87901977,5,5,5,3,5,4
122,glassdoor,87891264,5,5,4,4,5,4
123,glassdoor,87878386,5,5,5,5,5,5
124,glassdoor,87869691,3,3,4,3,3,3
125,glassdoor,87822759,3,0,0,0,0,0
126,glassdoor,87808797,5,5,5,5,5,5
127,glassdoor,87796570,4,0,0,0,0,0
128,glassdoor,87750810,4,4,2,3,3,2
129,glassdoor,87741660,3,2,3,1,4,2
130,glassdoor,87738949,5,5,3,5,5,5
131,glassdoor,87737499,5,0,0,0,0,0
132,glassdoor,87723338,5,5,5,3,4,5
133,glassdoor,87670876,1,0,0,0,0,0
134,glassdoor,87665190,3,0,0,0,0,0
135,glassdoor,87626009,5,0,0,0,0,0
136,glassdoor,87618239,4,0,0,0,0,0
137,glassdoor,87580653,4,5,5,3,3,2
138,glassdoor,87567820,5,0,0,0,0,0
139,glassdoor,87520878,4,0,0,0,0,0
140,glassdoor,87518111,4,4,5,3,3,3
141,glassdoor,87446956,5,5,5,5,5,2
142,glassdoor,87382931,2,0,0,0,0,0
143,glassdoor,87337908,5,5,5,4,4,3
144,glassdoor,87306333,5,0,0,0,0,0
145,glassdoor,87300228,5,5,5,5,5,3
146,glassdoor,87265028,5,5,5,5,5,5
147,glassdoor,87243205,4,4,3,2,4,4
148,glassdoor,87193982,4,4,3,4,5,3
149,glassdoor,87121239,4,4,4,1,4,3
150,glassdoor,87070815,4,4,5,2,3,3
151,glassdoor,87061412,3,3,2,2,3,2
152,glassdoor,87038318,5,5,5,5,5,5
153,glassdoor,86995472,4,5,4,4,4,3
154,glassdoor,86994176,5,5,4,4,5,5
155,glassdoor,86992272,5,5,5,5,5,5
156,glassdoor,86974220,5,0,0,0,0,0
157,glassdoor,86960433,3,3,3,1,3,4
158,glassdoor,86951435,5,5,5,5,5,5
159,glassdoor,86947351,4,5,5,5,3,2
160,glassdoor,86904896,5,5,5,4,5,4
161,glassdoor,86782993,5,0,0,0,0,0
162,glassdoor,86760931,4,5,5,4,4,3
163,glassdoor,86694505,4,5,3,4,4,3
164,glassdoor,86689076,5,5,5,5,5,5
165,glassdoor,86687958,2,3,1,3,2,1
166,glassdoor,86655840,4,0,0,0,0,0
167,glassdoor,86629752,3,1,2,2,5,3
168,glassdoor,86615971,4,5,4,3,3,3
169,glassdoor,86610037,5,5,3,2,3,4
170,glassdoor,86553582,3,4,4,3,4,3
171,glassdoor,86533970,3,5,3,2,3,2
172,glassdoor,86527915,5,4,4,4,4,4
173,glassdoor,86508287,4,4,5,2,3,3
174,glassdoor,86473395,4,0,0,0,0,0
175,glassdoor,86468195,5,0,0,0,0,0
176,glassdoor,86456791,5,5,4,5,4,5
177,glassdoor,86441451,3,3,4,3,2,2
178,glassdoor,86438973,3,4,3,4,2,1
179,glassdoor,86438955,3,3,2,5,4,2
180,glassdoor,86353917,5,5,5,5,5,5
181,glassdoor,86353067,5,4,5,5,4,4
182,glassdoor,86346936,3,0,0,0,0,0
183,glassdoor,86322042,2,3,2,2,2,1
184,glassdoor,86313854,4,0,0,0,0,0
185,glassdoor,86291578,3,4,2,3,4,3
186,glassdoor,86174865,4,4,4,4,4,4
187,glassdoor,86171290,1,1,1,1,1,1
188,glassdoor,86133381,5,5,5,5,5,5
189,glassdoor,86116776,2,0,0,0,0,0
190,glassdoor,86115642,4,3,4,5,5,4
191,glassdoor,86107760,4,3,3,3,5,4
192,glassdoor,86096107,3,5,3,4,3,2
193,glassdoor,85978587,5,0,0,0,0,0
194,glassdoor,85960882,5,5,5,5,5,5
195,glassdoor,85948540,3,2,0,0,2,2
196,glassdoor,85945974,1,1,5,1,2,2
197,glassdoor,85941885,4,5,4,4,4,4
198,glassdoor,85941300,4,0,0,0,0,0
199,glassdoor,85924918,1,1,1,1,1,1
200,indeed,1i5o7qt6khdjh800,4,0,0,0,0,0
201,indeed,1i43gmi45k7pf801,5,0,0,0,0,0
202,indeed,1i37hunfgg2pt801,5,0,0,0,0,0
203,indeed,1i1n24s52i81r801,3,0,0,0,0,0
204,indeed,1i0nmmjrpolkv802,4,0,0,0,0,0
205,indeed,1i0lpap3rolkv801,3,0,0,0,0,0
206,indeed,1huv15c7oihjq801,3,0,0,0,0,0
207,indeed,1hu4d97plj6ck801,3,0,0,0,0,0
208,indeed,1hu3c35anj6e4802,4,0,0,0,0,0
209,indeed,1htpb208q2flo000,1,0,0,0,0,0
210,indeed,1ht2h4fjtgb6s802,5,5,5,5,5,5
211,indeed,1hsai7sr7j6fn800,1,0,0,0,0,0
212,indeed,1hs7jcsr9imiu800,4,0,0,0,0,0
213,indeed,1hqdq24udkef0800,4,0,0,0,0,0
214,indeed,1hq0v0kp0jrih800,3,0,0,0,0,0
215,indeed,1hppc1vdvjk90800,2,0,0,0,0,0
216,indeed,1hph316lhk6ol802,3,3,1,3,1,5
217,indeed,1hpe372bg2gr4002,3,0,0,0,0,0
218,indeed,1hosrqjlrjklk801,4,0,0,0,0,0
219,indeed,1hoaaggj6isvv800,4,0,0,0,0,0
220,indeed,1hnpu0d8rjklk800,3,0,0,0,0,0
221,indeed,1hnedbf7di9ao801,2,1,2,2,2,1
222,indeed,1hn59n40rjkav802,4,0,0,0,0,0
223,indeed,1hmoof460gpe1801,4,5,2,2,2,2
224,indeed,1hm7rqflai46o800,1,1,1,1,1,1
225,indeed,1hl09lfjm25m4000,4,0,0,0,0,0
226,indeed,1hkm97mq8j3v3800,3,0,0,0,0,0
227,indeed,1hjv2sv3ficb8801,5,0,0,0,0,0
228,indeed,1hjqpgdghih2r800,4,0,0,0,0,0
229,indeed,1hjk6jl27lga0800,5,5,4,4,3,4
230,indeed,1hions7te28um002,4,0,0,0,0,0
231,indeed,1hik6nq14j9iu800,5,0,0,0,0,0
232,indeed,1hi0tit0ikj91800,4,0,0,0,0,0
233,indeed,1hi0pvvqhjkmh801,5,0,0,0,0,0
234,indeed,1hgvrm518gpek801,1,1,1,1,1,1
235,indeed,1hgrssk1hje31802,4,0,0,0,0,0
236,indeed,1hgbqmjgniqu3801,1,0,0,0,0,0
237,indeed,1hgatho0ghars800,5,0,0,0,0,0
238,indeed,1hg2r8cu4ic8i800,4,0,0,0,0,0
239,indeed,1hf8jl4t3ipal800,5,0,0,0,0,0
240,indeed,1hen79ocvissp800,1,0,0,0,0,0
241,indeed,1hen79ocvissp800,1,0,0,0,0,0
242,indeed,1he8ah8ani46l800,3,0,0,0,0,0
243,indeed,1he812l4e2eig000,5,0,0,0,0,0
244,indeed,1hdcno5tni3r0801,1,3,3,3,1,1
245,indeed,1hcsuhdrsi90s802,4,0,0,0,0,0
246,indeed,1hclv1mj1hap3801,3,0,0,0,0,0
247,indeed,1hckn3ofm2cpt000,4,0,0,0,0,0
248,indeed,1hchrsirn2cfk000,5,0,0,0,0,0
249,indeed,1hbtuic19iqug800,5,5,5,5,5,5
250,indeed,1hbgsgth62dul000,4,0,0,0,0,0
251,indeed,1hbbqff4pkp0h800,1,0,0,0,0,0
252,indeed,1hb6ashqfjcb9801,4,0,0,0,0,0
253,indeed,1hanrcqntgped800,4,0,0,0,0,0
254,indeed,1ha6pros32hjb000,3,0,0,0,0,0
255,indeed,1ha1i5oe8gb5a803,4,0,0,0,0,0
256,indeed,1ha0fpim92eik001,1,1,1,1,1,1
257,indeed,1h9pfoch2hakq801,5,5,5,5,5,5
258,indeed,1h91r5cqgkcqi800,3,3,3,2,5,3
259,indeed,1h8ekjvsji93c800,4,0,0,0,0,0
260,indeed,1h7rhj9m1m6os802,5,5,5,5,5,5
261,indeed,1h6t61rtbkuje800,3,0,0,0,0,0
262,indeed,1h6ivd3ugg827800,2,1,2,1,1,1
263,indeed,1h6cpk3n62946001,1,1,1,1,1,1
264,indeed,1h6a8b73pg3nq800,3,0,0,0,0,0
265,indeed,1h4ordrluk7ja801,4,0,0,0,0,0
266,indeed,1h4el0gkn2eik000,5,0,0,0,0,0
267,indeed,1h3ujgvf1ikop800,5,0,0,0,0,0
268,indeed,1h3g4opn52eik000,5,0,0,0,0,0
269,indeed,1h3fq8kf8jtv8800,4,0,0,0,0,0
270,indeed,1h30kfm4di90l801,5,0,0,0,0,0
271,indeed,1h2orgc20281h001,1,1,4,1,2,1
272,indeed,1h2ofa5e9281h000,5,0,0,0,0,0
273,indeed,1h2mo0s6mi83n800,5,5,5,4,4,5
274,indeed,1h2gp4ksjg3nc800,3,0,0,0,0,0
275,indeed,1h1a8utn0g3m4800,1,0,0,0,0,0
276,indeed,1h13js993jr5n800,5,4,5,3,4,5
277,indeed,1h0r5louikja1800,4,0,0,0,0,0
278,indeed,1h0ati1mritm7800,5,0,0,0,0,0
279,indeed,1gvb696pkj4if801,5,0,0,0,0,0
280,indeed,1gune9f2gglq1800,2,2,2,2,3,2
281,indeed,1gune9f2gglq1800,2,2,2,2,3,2
282,indeed,1guf3fpu0g2rn800,5,0,0,0,0,0
283,indeed,1guc8c9egoje5800,5,4,4,3,5,4
284,indeed,1gu96s5nhj9gj801,1,0,0,0,0,0
285,indeed,1gu75c0ca2m12001,5,5,5,5,5,5
286,indeed,1gtultg3fk5pm800,5,0,0,0,0,0
287,indeed,1gtu63fkk2m12000,5,0,0,0,0,0
288,indeed,1gtjn81leg0ki802,5,0,0,0,0,0
289,indeed,1gtdtarm8g0ki800,5,0,0,0,0,0
290,indeed,1gt3ujtplg4dn800,5,0,0,0,0,0
291,indeed,1gt3hjb54iqtf800,5,0,0,0,0,0
292,indeed,1gsuvgv6ogagq800,2,0,0,0,0,0
293,indeed,1gsjuqb402954001,4,5,4,4,4,4
294,indeed,1gs7c22v0i6ht802,3,0,0,0,0,0
295,indeed,1gs6da6qk22n3001,5,4,5,4,3,5
296,indeed,1grstj0llg2ov800,5,5,5,5,5,5
297,indeed,1grjekn33jkbg801,2,0,0,0,0,0
298,indeed,1grch21k0mjjo802,4,5,2,4,2,2
299,indeed,1grajamqhirnt800,5,0,0,0,0,0
300,indeed,1gr5532ermnau802,1,1,1,1,1,1
301,indeed,1gr0999lumnau800,5,5,5,5,5,5
302,indeed,1gqjtc8vbg3lm800,5,0,0,0,0,0
303,indeed,1gqflocidiodu801,5,0,0,0,0,0
304,indeed,1gpq3ubncjrrd802,5,0,0,0,0,0
305,indeed,1gphvhuo32qt2002,4,0,0,0,0,0
306,indeed,1gpen7ubthaok800,5,0,0,0,0,0
307,indeed,1gpa5gbvd2h58000,5,0,0,0,0,0
308,indeed,1gomembmojkkt800,4,4,5,4,3,3
309,indeed,1goguagk2k3vp804,4,4,4,3,5,2
310,indeed,1gobq4l41k253800,1,1,2,1,2,1
311,indeed,1gntfvaguk253800,4,3,4,4,5,4
312,indeed,1gmv0fh13gbvm802,4,3,5,3,5,5
313,indeed,1gmh0ug42k2m6800,3,0,0,0,0,0
314,indeed,1gmgsl4dvghrr801,1,3,5,3,5,1
315,indeed,1gl8k004jj9gl800,5,5,5,5,5,5
316,indeed,1gkm423j6k7qs802,4,0,0,0,0,0
317,indeed,1gklfrk1ijrph802,5,5,5,5,4,4
318,indeed,1gk9ue5nuj9gl800,3,0,0,0,0,0
319,indeed,1gjl68ov9i9b5800,1,0,0,0,0,0
320,indeed,1gjji5gcc2fec004,4,4,5,3,3,5
321,indeed,1gj6ivunal0em802,4,4,4,4,4,4
322,indeed,1gil3mcddi47n800,5,0,0,0,0,0
323,indeed,1gi31b81si47n801,4,4,4,5,4,4
324,indeed,1ghvngdopkji3800,4,0,0,0,0,0
325,indeed,1ghuuso47gfrg800,2,0,0,0,0,0
326,indeed,1ghcirunp21v8001,5,0,0,0,0,0
327,indeed,1ghc3kkkjkjaq800,4,4,4,3,3,3
328,indeed,1gh28f3tlghru800,4,5,5,4,5,3
329,indeed,1ggidq0irk24s800,5,0,0,0,0,0
330,indeed,1ggc7oi6bjk9h800,3,5,5,3,3,3
331,indeed,1gfvqs86cii2h802,2,0,0,0,0,0
332,indeed,1gfuv808qmjh3802,3,3,3,1,3,2
333,indeed,1gftu7spvj4op801,3,0,0,0,0,0
334,indeed,1gf3s1hv2jl0n801,5,5,5,5,5,5
335,indeed,1gf1afen3i7nu801,3,1,3,3,5,2
336,indeed,1gf1446isi80g800,5,5,5,5,5,5
337,indeed,1gekbsbl0i80g800,5,3,4,3,4,4
338,indeed,1ge5tpqh8icba800,1,1,3,1,1,1
339,indeed,1ge257ecumb24800,4,5,3,4,4,3
340,indeed,1gdjaf6hricba802,1,1,1,1,1,1
341,indeed,1gde89abbmnbq800,3,3,3,5,1,3
342,indeed,1gd345lgvmb24800,5,5,5,5,5,5
343,indeed,1gbvts2jtj3vv800,1,1,1,1,1,1
344,indeed,1gbb2q32sjkbi800,3,3,3,2,5,2
345,indeed,1gatpv0cm2gn1002,2,3,3,2,1,1
346,indeed,1garg0vv92fee002,3,4,3,3,3,1
347,indeed,1gajbq4qrk9af800,4,5,4,4,5,4
348,indeed,1ga4kf5fik6f6802,1,1,2,3,1,2
349,indeed,1ga050cs6kblr800,4,4,4,4,4,3
350,indeed,1g9ki01i2i14l802,3,3,3,3,5,1
351,indeed,1g97ul676grhi800,4,0,0,0,0,0
352,indeed,1g8uv6pdfh5gj800,4,3,4,3,3,4
353,indeed,1g8nhvkioirqk802,3,1,2,2,1,1
354,indeed,1g86lniecg82d800,5,5,5,5,5,4
355,indeed,1g841pjgi23jb000,3,0,0,0,0,0
356,indeed,1g80ki1gig82d800,2,2,3,1,3,2
357,indeed,1g7qijh6ais9u802,4,4,4,3,5,4
358,indeed,1g7khgb8asu3i800,1,1,3,1,3,1
359,indeed,1g7gi8j4di39t802,4,4,4,3,4,4
360,indeed,1g7cosr292pve001,4,4,4,3,4,2
361,indeed,1g700l8nvj3vt801,4,4,3,4,4,3
362,indeed,1g6qf047ii43q802,5,4,0,4,4,4
363,indeed,1g6o4f9jmjv5h802,4,4,4,3,5,5
364,indeed,1g6me0fgqj9io802,4,3,3,4,3,3
365,indeed,1g5kvbnqqltcr800,3,4,4,3,3,5
366,indeed,1g5ic2te9kmej802,4,5,4,4,3,3
367,indeed,1g5b99ic738qe002,4,4,5,2,3,4
368,indeed,1g56l9bnut3cg802,5,0,0,0,0,0
369,indeed,1g54trsgak99d800,4,4,3,5,3,4
370,indeed,1g50l677nt4ul800,5,0,0,0,0,0
371,indeed,1g4esr3rllg9t801,4,3,4,4,3,3
372,indeed,1g3sm3i92t58o800,1,1,1,1,1,1
373,indeed,1g3rfemmajm5n802,5,5,5,5,5,5
374,indeed,1g3r5i815i80k802,5,5,5,5,5,5
375,indeed,1g3pc5fslicbp802,2,1,2,1,3,2
376,indeed,1g3kosdi2i7ku802,3,3,3,3,3,3
377,indeed,1g3efqploi80k802,1,1,1,1,1,1
378,indeed,1g3ebjp2ric91802,5,5,5,1,5,5
379,indeed,1g2pdl541m6e8800,4,4,4,3,4,4
380,indeed,1g2l13crnt1ci801,5,5,5,4,4,5
381,indeed,1g2ifqv5osu2n801,4,5,4,4,4,4
382,indeed,1g1qa57vqsu2n802,5,5,4,5,5,3
383,indeed,1g1p73unbsu1m800,5,5,5,5,5,5
384,indeed,1g1f79tvnpkjf800,3,1,3,2,1,1
385,indeed,1g1eb2enh2f42001,1,1,1,1,2,1
386,indeed,1g19tf238ocra802,5,5,5,3,2,3
387,indeed,1g16dait1pkem802,2,1,1,2,3,1
388,indeed,1g0fiam6fsu39800,5,5,5,5,0,5
389,indeed,1g08ff07uk24g802,4,5,3,3,5,3
390,indeed,1fvsl3tubt4jb800,4,4,3,4,3,4
391,indeed,1fviiru8lh0in802,4,4,4,1,3,1
392,indeed,1fuq2q92mhich802,3,3,3,4,2,2
393,indeed,1fueq5gnnt5js801,3,4,4,4,4,4
394,indeed,1fue5fv1a2106000,3,4,5,3,4,4
395,indeed,1fuc9bm8kg824801,5,5,4,5,5,4
396,indeed,1ftseaqgdi81f800,4,5,4,4,4,4
397,indeed,1ftqt67fh3gu0000,1,1,3,1,1,1
398,indeed,1ftofr8l8gpe1800,1,1,1,1,1,1
399,indeed,1fthnk746k3pi800,4,5,4,5,3,2
400,indeed,1ft9fbj0mu1ec800,1,1,1,1,1,1
